Source,Species,Date_Received,Date_Fragmented,Size,Tag_ID,Initials,Date_Removed,Reason,Initials,Notes
OSA,Pocillopora_damicornis,20230410,20230510,Plug,49,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230510,Plug,50,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,51,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,52,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,53,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,54,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,55,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,56,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,57,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,58,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,59,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,60,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,61,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,62,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,63,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,64,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,65,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,66,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,67,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,68,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,69,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,70,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,71,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,72,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,73,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230516,Plug,74,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,75,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,76,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,77,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,78,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,79,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,80,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,81,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230516,Plug,82,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230516,Plug,83,LZ,,,,to be rechecked by Zoe
